school_code,AgeID,school_name,street,town_suburb,postcode,student_number,ICSEA_Value,level_of_schooling,selective_school,opportunity_class,school_specialty_type,school_subtype,preschool_ind,distance_education,intensive_english_centre,school_gender,phone,school_email,fax,late_opening_school,lga,electorate,fed_electorate,operational_directorate,principal_network,local_health_district,aecg_region,ASGS_remoteness,latitude,longitude
1061,7612,Artarmon Public School,McMillan Rd,Artarmon ,2064,1125,1186,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,N,N,N,Coed,9411 1950,artarmon-p.school@det.nsw.edu.au,9415 1243,N,Willoughby (C),Lane Cove,North Sydney,Macquarie Park,North Sydney,Northern Sydney,Metropolitan North,Major Cities of Australia,-33.811249,151.186001
1064,7773,Ashbury Public School,Trevenar St,Ashbury,2193,381,1107,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,9798 4509,ashbury-p.school@det.nsw.edu.au,9716 8089,N,Canterbury (C),Summer Hill,Watson,Ultimo,Canterbury,Sydney,Metropolitan East,Major Cities of Australia,-33.898833,151.11944
1065,7774,Ashfield Public School,Liverpool Rd,Ashfield ,2131,370,1066,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,N,N,N,Coed,9798 4400,ashfield-p.school@det.nsw.edu.au,9716 7250,N,Ashfield (A),Summer Hill,Grayndler,Ultimo,Marrickville,Sydney,Metropolitan East,Major Cities of Australia,-33.889723,151.12821
1066,9412,Ashford Central School,Albury St,Ashford ,2361,168,854,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,N,N,N,Coed,6725 4101,ashford-c.school@det.nsw.edu.au,6725 4336,Y,Inverell (A),Northern Tablelands,New England,Tamworth & Coffs Harbour,Barwon,Hunter New England,North Western 2,Outer Regional Australia,-29.321262,151.094638
1070,5797,Asquith Public School,Dudley St,Asquith,2077,374,1090,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,9477 1258,asquith-p.school@det.nsw.edu.au,9482 2523,N,Hornsby (A),Hornsby,Bradfield,Macquarie Park,Hornsby,Northern Sydney,Metropolitan North,Major Cities of Australia,-33.685729,151.112177
1071,9369,Attunga Public School,Railway St,Attunga ,2345,37,944,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6769 5554,attunga-p.school@det.nsw.edu.au,6769 5690,N,Tamworth Regional (A),Tamworth,New England,Tamworth & Coffs Harbour,Tamworth,Hunter New England,North Western 2,Outer Regional Australia,-30.930445,150.846575
1073,7799,Auburn North Public School,100 Adderley St,Auburn ,2144,665,966,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,9748 1036,auburnnth-p.school@det.nsw.edu.au,9748 0109,N,Auburn (C),Auburn,Blaxland,Macquarie Park,Holroyd,Western Sydney,Metropolitan South West,Major Cities of Australia,-33.841669,151.038618
1075,7801,Auburn West Public School,Chiswick Rd,Auburn ,2144,721,906,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,9649 6774,auburnwest-p.school@det.nsw.edu.au,9749 1467,N,Auburn (C),Auburn,Blaxland,Macquarie Park,Holroyd,Western Sydney,Metropolitan South West,Major Cities of Australia,-33.860931,151.019764
1076,9986,Austinmer Public School,90 Lawrence Hargrave Drive,Austinmer ,2515,345,1105,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,4267 1311,austinmer-p.school@det.nsw.edu.au,4267 1018,N,Wollongong (C),Keira,Cunningham,Dubbo & Wagga Wagga,Wollongong North,Illawarra Shoalhaven,Upper South Coast,Major Cities of Australia,-34.305398,150.934991
1077,8545,Austral Public School,219 Edmondson Avenue,Austral,2179,281,953,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,9606 0312,austral-p.school@det.nsw.edu.au,9606 0080,N,Liverpool (C),Camden,Werriwa,Ultimo,Macarthur,South Western Sydney,Metropolitan South West,Major Cities of Australia,-33.934487,150.812638
1081,10243,Avoca Public School,Sheepwash Rd,Avoca,2577,21,998,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,4887 7224,avoca-p.school@det.nsw.edu.au,4887 7380,N,Wingecarribee (A),Goulburn,Whitlam,Ultimo,Wollondilly,South Western Sydney,Upper South Coast,Inner Regional Australia,-34.612697,150.479766
1082,16159,Avoca Beach Public School,The Round Drive,Avoca Beach,2251,511,1094,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,4382 1416,avocabch-p.school@det.nsw.edu.au,4381 1431,N,Gosford (C),Terrigal,Robertson,Macquarie Park,Gosford,Central Coast,Central Coast,Major Cities of Australia,-33.471154,151.430745
1084,8964,Awaba Public School,Mulbring Street,Awaba,2283,36,969,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,4959 2502,awaba-p.school@det.nsw.edu.au,4950 4905,N,Lake Macquarie (C),Lake Macquarie,Hunter,Tamworth & Coffs Harbour,Lake Macquarie West,Hunter New England,Hunter ,Major Cities of Australia,-33.010554,151.538068
1085,16197,Colo Vale Public School,Wattle St,Colo Vale ,2575,230,992,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,4889 4250,colovale-p.school@det.nsw.edu.au,4889 4285,N,Wingecarribee (A),Wollondilly,Hume,Ultimo,Wollondilly,South Western Sydney,Upper South Coast,Inner Regional Australia,-34.401281,150.476178
1098,9413,Bald Blair Public School,Ebor Rd,Guyra ,2365,36,972,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6779 1578,baldblair-p.school@det.nsw.edu.au,6779 2060,N,Guyra (A),Northern Tablelands,New England,Tamworth & Coffs Harbour,Northern Tablelands,Hunter New England,North Western 2,Outer Regional Australia,-30.229893,151.785056
1104,7691,Seaforth Public School,37 Kempbridge Avenue,Seaforth ,2092,566,1152,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,9948 1694,seaforth-p.school@det.nsw.edu.au,9907 0858,N,Manly (A),Manly,Warringah,Macquarie Park,Warringah,Northern Sydney,Metropolitan North,Major Cities of Australia,-33.793262,151.251235
1106,10002,Balgownie Public School,Balgownie Rd,Balgownie ,2519,349,1077,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,4284 4245,balgownie-p.school@det.nsw.edu.au,4284 3462,N,Wollongong (C),Keira,Cunningham,Dubbo & Wagga Wagga,Wollongong North,Illawarra Shoalhaven,Upper South Coast,Major Cities of Australia,-34.386984,150.872076
1111,11039,Ballimore Public School,Bomen St,Ballimore ,2830,14,943,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6886 5151,ballimore-p.school@det.nsw.edu.au,6886 5167,N,Dubbo (C),Dubbo,Parkes,Dubbo & Wagga Wagga,Macquarie,Western NSW,Western 1,Outer Regional Australia,-32.193596,148.899631
1112,9765,Ballina Public School,48 Crane St,Ballina ,2478,246,836,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6686 2205,ballina-p.school@det.nsw.edu.au,6686 0692,N,Ballina (A),Ballina,Richmond,Tamworth & Coffs Harbour,Richmond Valley,Northern NSW,Upper North Coast,Inner Regional Australia,-28.869724,153.563707
1115,6377,Balranald Central School,We St,Balranald,2715,152,899,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,N,N,N,Coed,03 5020 2222,balranald-c.school@det.nsw.edu.au,03 5020 2269,Y,Balranald (A),Murray,Farrer,Dubbo & Wagga Wagga,Deniliquin,Far West,Riverina 3,Outer Regional Australia,-34.635575,143.564769
1118,9770,Bangalow Public School,Byron St,Bangalow ,2479,291,1102,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6687 1434,bangalow-p.school@det.nsw.edu.au,6687 2036,N,Byron (A),Ballina,Richmond,Tamworth & Coffs Harbour,Lismore,Northern NSW,Upper North Coast,Inner Regional Australia,-28.68554,153.525743
1121,6390,Banksmeadow Public School,Trevelyan & Wiggins Sts,Botany ,2019,254,1039,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,Y,N,N,Coed,9316 9608,banksmeado-p.school@det.nsw.edu.au,9316 4513,N,Botany Bay (C),Maroubra,Kingsford Smith,Ultimo,Botany Bay,South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.953739,151.20661
1123,8557,Greenacre Public School,Waterloo Rd,Greenacre,2190,797,932,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,N,N,N,Coed,9759 1305,greenacre-p.school@det.nsw.edu.au,9740 4035,N,Bankstown (C),Lakemba,Watson,Ultimo,Canterbury,South Western Sydney,Metropolitan South West,Major Cities of Australia,-33.911161,151.057581
1124,8574,Bankstown North Public School,322 Hume Hwy,Bankstown ,2200,377,979,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,9709 5506,bankstownn-p.school@det.nsw.edu.au,9790 0945,N,Bankstown (C),Bankstown,Blaxland,Ultimo,Bankstown,South Western Sydney,Metropolitan South West,Major Cities of Australia,-33.904888,151.038043
1129,9515,Banora Point Public School,Pioneer Pde,Banora Point ,2486,621,995,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,07 5524 1444,banorapt-p.school@det.nsw.edu.au,07 5524 9287,N,Tweed (A),Tweed,Richmond,Tamworth & Coffs Harbour,Tweed,Northern NSW,Upper North Coast,Major Cities of Australia,-28.222422,153.543702
1130,6402,Baradine Central School,Narren St,Baradine,2396,109,787,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,N,N,N,Coed,6843 1805,baradine-c.school@det.nsw.edu.au,6843 1751,Y,Warrumbungle Shire (A),Barwon,Parkes,Dubbo & Wagga Wagga,Western Plains,Western NSW,North Western 1,Remote Australia,-30.950736,149.070198
1131,10521,Barellan Central School,Boree St,Barellan ,2665,119,967,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,N,N,N,Coed,6963 9202,barellan-c.school@det.nsw.edu.au,6963 9302,N,Narrandera (A),Cootamundra,Farrer,Dubbo & Wagga Wagga,Griffith,Murrumbidgee,Riverina 1 ,Outer Regional Australia,-34.287799,146.571928
1134,10234,Bargo Public School,Southern Rd,Bargo ,2574,359,979,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,4684 1396,bargo-p.school@det.nsw.edu.au,02 4684 3781,N,Wollondilly (A),Wollondilly,Hume,Ultimo,Wollondilly,South Western Sydney,Dharawal,Inner Regional Australia,-34.292889,150.58274
1135,10672,Barham Public School,Wakool St,Barham,2732,147,992,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,03 5453 2133,barham-p.school@det.nsw.edu.au,03 5453 2972,Y,Wakool (A),Murray,Farrer,Dubbo & Wagga Wagga,Deniliquin,Murrumbidgee,Riverina 2 ,Outer Regional Australia,-35.626915,144.127977
1136,9751,Barkers Vale Public School,4501 Kyogle Rd,Wadeville ,2474,51,978,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6689 7202,barkersval-p.school@det.nsw.edu.au,6689 7469,N,Kyogle (A),Lismore,Page,Tamworth & Coffs Harbour,Richmond Valley,Northern NSW,Upper North Coast,Inner Regional Australia,-28.54902,153.14927
1137,10527,Barmedman Public School,Robertson St,Barmedman ,2668,15,866,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6976 2128,barmedman-p.school@det.nsw.edu.au,6976 2006,N,Bland (A),Cootamundra,Riverina,Dubbo & Wagga Wagga,Cootamundra,Murrumbidgee,Riverina 1 ,Outer Regional Australia,-34.148277,147.385078
1138,9127,Barnsley Public School,Cliffbrook St,Barnsley ,2278,283,951,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,4953 2976,barnsley-p.school@det.nsw.edu.au,4953 3094,N,Lake Macquarie (C),Cessnock,Hunter,Tamworth & Coffs Harbour,Lake Macquarie West,Hunter New England,Hunter,Major Cities of Australia,-32.933094,151.594552
1139,10460,Barooga Public School,Hughes St,Barooga ,3644,151,963,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,03 5873 4242,barooga-p.school@det.nsw.edu.au,03 5873 4700,N,Berrigan (A),Murray,Farrer,Dubbo & Wagga Wagga,Deniliquin,Murrumbidgee,Riverina 2 ,Inner Regional Australia,-35.912963,145.695985
1140,9371,Barraba Central School,Gotha St,Barraba ,2347,189,899,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,N,N,N,Coed,6782 1104,barraba-c.school@det.nsw.edu.au,6782 1231,N,Tamworth Regional (A),Tamworth,New England,Tamworth & Coffs Harbour,Tamworth,Hunter New England,North Western 2,Outer Regional Australia,-30.38239,150.599478
1143,9523,Barrington Public School,1 Kenmore St,Barrington ,2422,58,1002,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6558 4258,barrington-p.school@det.nsw.edu.au,6558 4216,N,Gloucester (A),Upper Hunter,Lyne,Tamworth & Coffs Harbour,Great Lakes,Hunter New England,Manning,Outer Regional Australia,-31.971159,151.911058
1146,9683,Baryulgil Public School,7135 Clarence Way,Baryulgil ,2460,9,,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6647 2124,baryulgil-p.school@det.nsw.edu.au,6647 2151,N,Clarence Valley (A),Clarence,Page,Tamworth & Coffs Harbour,Clarence Valley,Northern NSW,Upper North Coast,Outer Regional Australia,-29.2235,152.605615
1148,8571,Bass Hill Public School,611 Hume Hwy,Bass Hill ,2197,354,944,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,Y,N,N,Coed,9644 3431,basshill-p.school@det.nsw.edu.au,9644 5271,N,Bankstown (C),Bankstown,Blaxland,Ultimo,Bankstown,South Western Sydney,Metropolitan South West,Major Cities of Australia,-33.905902,151.005779
1149,10056,Batemans Bay Public School,Mundarra Way,Surfside,2536,569,897,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,Y,N,N,Coed,4472 4059,batemansba-p.school@det.nsw.edu.au,4472 8457,N,Eurobodalla (A),Bega,Gilmore,Dubbo & Wagga Wagga,Far South Coast,Southern NSW,Lower South Coast,Inner Regional Australia,-35.700051,150.188373
1150,10975,Bathurst Public School,George St,Bathurst ,2795,577,982,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6331 3923,bathurst-p.school@det.nsw.edu.au,6332 2305,N,Bathurst Regional (A),Bathurst,Calare,Dubbo & Wagga Wagga,Bathurst,Western NSW,Western 1,Inner Regional Australia,-33.420942,149.570615
1152,6415,Batlow Technology School,Pioneer St,Batlow ,2730,109,929,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,N,N,N,Coed,6949 1208,batlow-c.school@det.nsw.edu.au,6949 1666,N,Tumut Shire (A),Wagga Wagga,Eden-Monaro,Dubbo & Wagga Wagga,Albury,Murrumbidgee,Riverina 1,Outer Regional Australia,-35.523007,148.146548
1160,10522,Beckom Public School,Welman St,Beckom ,2665,11,947,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6978 2314,beckom-p.school@det.nsw.edu.au,6978 2342,N,Coolamon (A),Cootamundra,Riverina,Dubbo & Wagga Wagga,Griffith,Murrumbidgee,Riverina 1 ,Outer Regional Australia,-34.327211,146.962928
1164,11098,Bedgerebong Public School,North Condobolin Rd,Bedgerebong ,2871,55,903,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6857 1185,bedgerebon-p.school@det.nsw.edu.au,6857 1118,N,Forbes (A),Orange,Riverina,Dubbo & Wagga Wagga,Lachlan,Western NSW,Western 1,Outer Regional Australia,-33.361353,147.679318
1165,9643,Beechwood Public School,614 Beechwood Road,Wauchope ,2446,128,972,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6585 6136,beechwood-p.school@det.nsw.edu.au,6585 6000,N,Port Macquarie-Hastings (A),Oxley,Lyne,Tamworth & Coffs Harbour,Hastings,Mid North Coast,Lower North Coast,Inner Regional Australia,-31.435535,152.68094
1166,7758,Beecroft Public School,98 Beecroft Rd,Beecroft ,2119,817,1199,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,N,N,N,Coed,9484 8844,beecroft-p.school@det.nsw.edu.au,9484 8200,N,Hornsby (A),Epping,Berowra,Macquarie Park,Dural,Northern Sydney,Metropolitan North,Major Cities of Australia,-33.752085,151.06462
1167,10539,Beelbangera Public School,Rankins Springs Rd,Beelbangera ,2680,179,1010,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6963 5368,beelbanger-p.school@det.nsw.edu.au,6963 5506,N,Griffith (C),Murray,Farrer,Dubbo & Wagga Wagga,Griffith,Murrumbidgee,Riverina 1 ,Outer Regional Australia,-34.252836,146.101067
1168,10183,Bega Valley Public School,27 Auckland St,Bega ,2550,347,907,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6492 1280,bega-p.school@det.nsw.edu.au,6492 3965,N,Bega Valley (A),Bega,Eden-Monaro,Dubbo & Wagga Wagga,Far South Coast,Southern NSW,Lower South Coast,Outer Regional Australia,-36.670545,149.839095
1175,9496,Bellata Public School,Gurley St,Bellata ,2397,29,914,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6793 7514,bellata-p.school@det.nsw.edu.au,6793 7462,Y,Narrabri (A),Barwon,Parkes,Tamworth & Coffs Harbour,Barwon,Hunter New England,North Western 1,Outer Regional Australia,-29.918659,149.796216
1177,9208,Bellbird Public School,Doyle St,Bellbird ,2325,265,944,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,4990 2331,bellbird-p.school@det.nsw.edu.au,4991 1973,N,Cessnock (C),Cessnock,Hunter,Tamworth & Coffs Harbour,Hunter,Hunter New England,Hunter,Inner Regional Australia,-32.859421,151.316705
1178,9608,Bellbrook Public School,Main St,Bellbrook,2440,31,838,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6567 2049,bellbrook-p.school@det.nsw.edu.au,6567 2113,N,Kempsey (A),Oxley,Cowper,Tamworth & Coffs Harbour,Mid North Coast,Mid North Coast,Lower North Coast,Outer Regional Australia,-30.819094,152.508698
1179,5338,Bellevue Hill Public School,Victoria Rd,Bellevue Hill ,2023,611,1153,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,9389 3928,bellevuehi-p.school@det.nsw.edu.au,9369 4651,N,Woollahra (A),Vaucluse,Wentworth,Ultimo,Port Jackson,South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.886986,151.259785
1181,9676,Bellingen Public School,William St,Bellingen ,2454,395,1006,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6655 1147,bellingen-p.school@det.nsw.edu.au,6655 2615,N,Bellingen (A),Oxley,Cowper,Tamworth & Coffs Harbour,Mid North Coast,Mid North Coast,Lower North Coast,Outer Regional Australia,-30.45349,152.891887
1182,9335,Belltrees Public School,Moonan Flat Rd,Belltrees ,2337,11,977,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6546 1148,belltrees-p.school@det.nsw.edu.au,6546 1110,N,Upper Hunter Shire (A),Upper Hunter,New England,Tamworth & Coffs Harbour,Wollemi,Hunter New England,Hunter,Outer Regional Australia,-31.988753,151.129487
